,,,,,,,,
Aluminium ValanceTop FixStandard Spring,6,N/A,0,N/A,Yes,No,No,N/A
Aluminium ValanceTop FixSmall Spring,0,N/A,0,N/A,No,No,Yes,N/A
Aluminium ValanceTop FixUniline Spring (Old Style),6,N/A,0,N/A,Yes,No,No,N/A
Aluminium ValanceTop FixBecker Remote Motor,6,N/A,0,N/A,Yes,No,No,N/A
Aluminium ValanceTop FixBecker CBUS Motor,6,N/A,0,N/A,Yes,No,No,N/A
Aluminium ValanceTop FixBecker External Remote Motor,0,N/A,0,N/A,No,No,Yes,N/A
Aluminium ValanceTop FixBecker External CBUS Motor,0,N/A,0,N/A,No,No,Yes,N/A
Aluminium ValanceTop Fix1.1nm 12v Acmeda Motor,6,N/A,0,N/A,Yes,No,No,N/A
Aluminium ValanceTop Fix2nm 12v Acmeda Motor,6,N/A,0,N/A,Yes,No,No,N/A
Aluminium ValanceTop FixAcmeda 12v 6nm Motor,6,N/A,0,N/A,Yes,No,No,N/A
Aluminium ValanceTop Fix0.7nm 12v Acmeda Motor,6,N/A,0,N/A,Yes,No,No,N/A
Aluminium ValanceTop Fix1.1nm 12v Acmeda DCRF Motor with External Battery,6,N/A,0,N/A,Yes,No,No,N/A
Aluminium ValanceTop Fix1.1nm 12v Acmeda DCRF Motor,6,N/A,0,N/A,Yes,No,No,N/A
