V,D30 Bottom Rail Bone,"=IF(AND('Job Sheet'!BD11=""Bone"",(OR('Tube Cutting'!E11=""D30 Bottom Rail"",'Tube Cutting'!E11=""D30 Bottom Rail with Noise Reducing Strip"",'Tube Cutting'!E11=""D30 Bottom Rail with Noise Reducing Strip & Fluffy Strip"",'Tube Cutting'!E11=""Bottom Rail in Pocket"",'Tube Cutting'!E11=""Bottom Rail in Pocket with Round Cut Out"",'Tube Cutting'!E11=""Bottom Rail in Pocket with Square Cut Out""))),'Tube Cutting'!G11,"""")"
W,D30 Bottom Rail End Caps Anodised Silver,"=IF(R5<>"""",1,"""")"
X,D30 Bottom Rail End Caps White,"=IF(S5<>"""",1,"""")"
Y,D30 Bottom Rail End Caps Black,"=IF(T5<>"""",1,"""")"
Z,D30 Bottom Rail End Caps Sandstone,"=IF(U5<>"""",1,"""")"
AA,D30 Bottom Rail End Caps Bone,"=IF(V5<>"""",1,"""")"
AB,Lath,"=IF('Tube Cutting'!H11=""Timber"",'Tube Cutting'!G11,IF(AND('Tube Cutting'!E11=""Double Lath"",'Tube Cutting'!H11=""Timber""),'Tube Cutting'!G11*2,""""))"
AC,Weight Bar,"=IF('Tube Cutting'!I11="""","""",'Tube Cutting'!I11)"
AD,Pelmet 95 Anodised,"=IF(AND('Tube Cutting'!J11=""Aluminium Pelmet"",'Tube Cutting'!K11=""Anodised Silver""),'Tube Cutting'!L11,"""")"
AE,Pelmet 95 White,"=IF(AND('Tube Cutting'!J11=""Aluminium Pelmet"",'Tube Cutting'!K11=""White""),'Tube Cutting'!L11,"""")"
AF,Pelmet 95 Black,"=IF(AND('Tube Cutting'!J11=""Aluminium Pelmet"",'Tube Cutting'!K11=""Black""),'Tube Cutting'!L11,"""")"
AG,Pelmet 95 Cream,"=IF(AND('Tube Cutting'!J11=""Aluminium Pelmet"",'Tube Cutting'!K11=""Cream""),'Tube Cutting'!L11,"""")"
AH,CF90 Cassette Back Black,"=IF(AND('Tube Cutting'!K11=""Black"",(OR('Tube Cutting'!J11=""Square Cassette"",'Tube Cutting'!J11=""Round Cassette"",'Tube Cutting'!J11=""Square Cassette with Side Channels"",'Tube Cutting'!J11=""Square Cassette with Side & Bottom Channels"",'Tube Cutting'!J11=""Round Cassette with Side Channels"",'Tube Cutting'!J11=""Round Cassette with Side & Bottom Channels""))),'Tube Cutting'!L11,"""")"
AI,CF90 Cassette Back White,"=IF(AND('Tube Cutting'!K11=""White"",(OR('Tube Cutting'!J11=""Square Cassette"",'Tube Cutting'!J11=""Round Cassette"",'Tube Cutting'!J11=""Square Cassette with Side Channels"",'Tube Cutting'!J11=""Square Cassette with Side & Bottom Channels"",'Tube Cutting'!J11=""Round Cassette with Side Channels"",'Tube Cutting'!J11=""Round Cassette with Side & Bottom Channels""))),'Tube Cutting'!L11,"""")"
AJ,CF90 Cassette Back Cream,"=IF(AND('Tube Cutting'!K11=""Cream"",(OR('Tube Cutting'!J11=""Square Cassette"",'Tube Cutting'!J11=""Round Cassette"",'Tube Cutting'!J11=""Square Cassette with Side Channels"",'Tube Cutting'!J11=""Square Cassette with Side & Bottom Channels"",'Tube Cutting'!J11=""Round Cassette with Side Channels"",'Tube Cutting'!J11=""Round Cassette with Side & Bottom Channels""))),'Tube Cutting'!L11,"""")"
AK,CF90 Cassette Back Anodised Silver,"=IF(AND('Tube Cutting'!K11=""Anodised Silver"",(OR('Tube Cutting'!J11=""Square Cassette"",'Tube Cutting'!J11=""Round Cassette"",'Tube Cutting'!J11=""Square Cassette with Side Channels"",'Tube Cutting'!J11=""Square Cassette with Side & Bottom Channels"",'Tube Cutting'!J11=""Round Cassette with Side Channels"",'Tube Cutting'!J11=""Round Cassette with Side & Bottom Channels""))),'Tube Cutting'!L11,"""")"
AL,CF90 Cassette Square Front White,"=IF(AND('Tube Cutting'!K11=""White"",(OR('Tube Cutting'!J11=""Square Cassette"",'Tube Cutting'!J11=""Square Cassette with Side Channels"",'Tube Cutting'!J11=""Square Cassette with Side & Bottom Channels""))),'Tube Cutting'!M11,"""")"
AM,CF90 Cassette Square Front Black,"=IF(AND('Tube Cutting'!K11=""Black"",(OR('Tube Cutting'!J11=""Square Cassette"",'Tube Cutting'!J11=""Square Cassette with Side Channels"",'Tube Cutting'!J11=""Square Cassette with Side & Bottom Channels""))),'Tube Cutting'!M11,"""")"
AN,CF90 Cassette Square Front Cream,"=IF(AND('Tube Cutting'!K11=""Cream"",(OR('Tube Cutting'!J11=""Square Cassette"",'Tube Cutting'!J11=""Square Cassette with Side Channels"",'Tube Cutting'!J11=""Square Cassette with Side & Bottom Channels""))),'Tube Cutting'!M11,"""")"
AO,CF90 Cassette Square Front Anodised Silver,"=IF(AND('Tube Cutting'!K11=""Anodised Silver"",(OR('Tube Cutting'!J11=""Square Cassette"",'Tube Cutting'!J11=""Square Cassette with Side Channels"",'Tube Cutting'!J11=""Square Cassette with Side & Bottom Channels""))),'Tube Cutting'!M11,"""")"
AP,CF90 Cassette Round Front White,"=IF(AND('Tube Cutting'!K11=""White"",(OR('Tube Cutting'!J11=""Round Cassette"",'Tube Cutting'!J11=""Round Cassette with Side Channels"",'Tube Cutting'!J11=""Round Cassette with Side & Bottom Channels""))),'Tube Cutting'!M11,"""")"
AQ,CF90 Cassette Round Front Black,"=IF(AND('Tube Cutting'!K11=""Black"",(OR('Tube Cutting'!J11=""Round Cassette"",'Tube Cutting'!J11=""Round Cassette with Side Channels"",'Tube Cutting'!J11=""Round Cassette with Side & Bottom Channels""))),'Tube Cutting'!M11,"""")"
